ID,Время создания,Ваш пол,Сколько вам лет?,"Замечаете ли вы, что когда нервничаете, чаще моргаете?","Замечаете ли вы, что когда нервничаете, сжимаете/""кусаете"" губы?","Замечаете ли вы, что когда нервничаете, появляется учащённое дыхание?","Замечаете ли вы, что когда нервничаете, начинаете касаться лица руками (чаще)?","Замечаете ли вы, что когда нервничаете, часто переводите взгляд?","Замечаете ли вы, что когда нервничаете, краснеете?","Замечаете ли вы, что когда нервничаете, начинают слегка дрожать руки","Замечаете ли вы, что когда нервничаете, начинаете ""теребить"" одежду? ( галстук, бабочку, рубашку )",Какие ещё признаки стресса вы замечали? Будем премного благодарны вам за идеи. Заранее спасибо :3
1178621228,2022-07-10 03:54:12,Женский,19,Не обращал(-а) внимание,Нет,Да,Касаюсь руками лица реже,Перевожу взгляд реже ( смотрю в одну точку ),Нет,Да,Нет,
1178280924,2022-07-09 03:17:39,Женский,46,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Да,Да,Нет,Да,Да,
1178230828,2022-07-08 22:00:55,Мужской,18,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Да,Да,Да,Да,Да,
1178286622,2022-07-09 04:36:20,Женский,44,Нет,Нет,Не обращал(-а) внимание,Да,Нет,Да,Нет,Да,
1178289542,2022-07-09 05:07:32,Женский,38,Не обращал(-а) внимание,Нет,Нет,Нет,Нет,Нет,Нет,Нет,"Плакать без пречины
Выйти в люди, чтобы отвлечься
Уйти от близких людей, которые пытаются довести до истерики"
1178289942,2022-07-09 05:11:30,Женский,38,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Да,Нет,Да,Да,
1178236343,2022-07-08 22:17:16,Женский,18,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Да,Да,Нет,Да,Нет,
1178182714,2022-07-08 19:40:22,Женский,22,Нет,Нет,Да,Касаюсь руками лица реже,Перевожу взгляд реже ( смотрю в одну точку ),Нет,Нет,Нет,Никаких признаков нет .
1178134711,2022-07-08 17:25:39,Женский,36,Не обращал(-а) внимание,Да,Да,Да,Нет,Да,Не обращал(-а) внимание,Нет,"Напрягаю плечи, переминаюсь с ноги на ногу"
1178132905,2022-07-08 17:21:19,Мужской,24,Нет,Да,Нет,Да,Да,Нет,,Да,
1178132978,2022-07-08 17:21:29,Мужской,38,Не обращал(-а) внимание,Да,Да,Да,Да,Бледнею,Да,Да,
1178133789,2022-07-08 17:23:29,Мужской,16,Не обращал(-а) внимание,Да,Да,Да,Перевожу взгляд реже ( смотрю в одну точку ),Да,Да,Да,
1178133856,2022-07-08 17:23:39,Мужской,26,Не обращал(-а) внимание,Да,Да,Нет,Да,Бледнею,Да,Нет,
1178133906,2022-07-08 17:23:47,Мужской,16,Моргаю реже,Да,Дышу реже,Нет,Да,Да,Да,Да,"Остановка дыхания, сжатость"
1178133918,2022-07-08 17:23:48,Женский,33,Да,Да,Дышу реже,Да,Не обращал(-а) внимание,Да,Да,Да,"меняется тембр голоса, говорю более высоким тоном"
1178135385,2022-07-08 17:27:12,Мужской,34,Не обращал(-а) внимание,Да,Нет,Да,Не обращал(-а) внимание,Нет,Нет,Нет,
1178135520,2022-07-08 17:27:34,Мужской,59,Не обращал(-а) внимание,Да,Да,Нет,Не обращал(-а) внимание,Да,Да,Нет,
1178135918,2022-07-08 17:28:29,Женский,27,Моргаю реже,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Нет,Да,Не обращал(-а) внимание,Ковыряюсь в ногтях
1178136282,2022-07-08 17:29:22,Мужской,16,Нет,Нет,Не обращал(-а) внимание,Да,Да,Нет,Да,Нет,"Нервный тик, растерянность"
